[N/T]t_lib | t_string | t_brace_o | t_brace_c | t_bracket_o | t_bracket_c | t_parenthesis_o | t_parenthesis_c | t_sharp | t_comma | t_dot | t_semi_colon | t_question | t_colon | t_mod_equals | t_mod | t_multiply_equals | t_asterisk | t_plus_plus | t_plus_equals | t_plus | t_sub_sub | t_sub_equals | t_sub | t_divide_equals | t_divide | t_comparation | t_assigment | t_diferent_to | t_not | t_left_desp | t_less_equals | t_less | t_rigth_desp | t_great_equal | t_great | t_and | t_ampersand | t_or | t_bit_or | t_bit_xor_equals | t_bit_xor | t_c1_equals | t_c1 | t_kw_bool | t_kw_byte | t_kw_char | t_kw_double | t_kw_float | t_kw_int | t_kw_long | t_kw_short | t_kw_unsigned | t_kw_string | t_kw_void | t_kw_word | t_define | t_include | t_HIGH | t_LOW | t_INPUT_PULLUP | t_INPUT | t_OUTPUT | t_LED_BUILTIN | t_break | t_continue | t_do | t_while | t_else | t_for | t_if | t_return | t_switch | t_case | t_default | t_true | t_false | t_float | t_int | t_char | t_identifier | t_bit_and_equals | t_bit_or_equals | $
PROGRAMA| @ || @ || @ || @ || @ || @ || @ || @ || ('PROGRAMA', ['L_BLOQUES']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || @ || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || @ || ('PROGRAMA', ['L_BLOQUES']) || ('PROGRAMA', ['L_BLOQUES']) || @ || ('PROGRAMA', ['L_BLOQUES']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ |
OPER_LP| @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || @ || ('OPER_LP', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('OPER_LP', ['ε']) || @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || ('OPER_LP', ['ε']) || @ || @ || @ || @ || @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || ('OPER_LP', ['ε']) || @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || @ || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || ('OPER_LP', ['ε']) || @ || @ || ('OPER_LP', ['ε']) |
OPER_BP| @ || @ || @ || @ || @ || @ || @ || ('OPER_BP', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('OPER_BP', ['ε']) || @ || @ || ('OPER_BP', ['ε']) || @ || @ || @ || ('OPER_BP', ['ε']) || @ || ('OPER_BP', ['ε']) || @ || ('OPER_BP', ['ε']) || @ || ('OPER_BP', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ |
OPER_COMPOU| @ || ('OPER_COMPOU', ['VALOR_ASIG']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('OPER_COMPOU', ['VALOR_ASIG']) || ('OPER_COMPOU', ['VALOR_ASIG']) || ('OPER_COMPOU', ['VALOR_ASIG']) || ('OPER_COMPOU', ['VALOR_ASIG']) || ('OPER_COMPOU', ['VALOR_ASIG']) || ('OPER_COMPOU', ['VALOR_ASIG']) || @ || @ || @ |
OPER_COMPOUP| @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('OPER_COMPOUP', ['COMPOUND_OPER', 'OPER_COMPOUPP']) || @ || ('OPER_COMPOUP', ['COMPOUND_OPER', 'OPER_COMPOUPP']) || @ || ('OPER_COMPOUP', ['COMP_ARIT']) || ('OPER_COMPOUP', ['COMPOUND_OPER', 'OPER_COMPOUPP']) || @ || ('OPER_COMPOUP', ['COMP_ARIT']) || ('OPER_COMPOUP', ['COMPOUND_OPER', 'OPER_COMPOUPP']) || @ || ('OPER_COMPOUP', ['COMPOUND_OPER', 'OPER_COMPOUPP']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('OPER_COMPOUP', ['COMPOUND_OPER', 'OPER_COMPOUPP']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('OPER_COMPOUP', ['COMPOUND_OPER', 'OPER_COMPOUPP']) || ('OPER_COMPOUP', ['COMPOUND_OPER', 'OPER_COMPOUPP']) || @ |
OPER_COMPOUPP| @ || ('OPER_COMPOUPP', ['OPER_COMPOU']) || @ || @ || @ || @ || ('OPER_COMPOUPP', ['OPER_A']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('OPER_COMPOUPP', ['OPER_COMPOU']) || ('OPER_COMPOUPP', ['OPER_COMPOU']) || ('OPER_COMPOUPP', ['OPER_COMPOU']) || ('OPER_COMPOUPP', ['OPER_COMPOU']) || ('OPER_COMPOUPP', ['OPER_COMPOU']) || ('OPER_COMPOUPP', ['OPER_COMPOU']) || @ || @ || @ |
PARAMS| @ || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || @ || @ || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || @ || ('PARAMS', ['ε']) || @ || ('PARAMS', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('PARAMS', ['ε']) || @ || @ || @ || @ || @ || @ || ('PARAMS', ['ε']) || @ || ('PARAMS', ['ε']) || @ || @ || @ || @ || @ || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || @ || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || ('PARAMS', ['ε']) || @ || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || @ || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || @ || @ || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || ('PARAMS', ['ε']) || @ || @ || ('PARAMS', ['ε']) |
PARAMSP| @ || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || @ || @ || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || @ || ('PARAMSP', ['ε']) || @ || ('PARAMSP', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('PARAMSP', ['ε']) || @ || @ || @ || @ || @ || @ || ('PARAMSP', ['ε']) || @ || ('PARAMSP', ['ε']) || @ || @ || @ || @ || @ || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || @ || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || ('PARAMSP', ['ε']) || @ || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || @ || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || @ || @ || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || ('PARAMSP', ['ε']) || @ || @ || ('PARAMSP', ['ε']) |
BLOCKS| @ || @ || ('BLOCKS', ['t_brace_o', 'L_BLOQUES', 't_brace_c']) || @ || @ || @ || @ || @ || ('BLOCKS', ['BLOQUE']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || @ || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || @ || ('BLOCKS', ['BLOQUE']) || ('BLOCKS', ['BLOQUE']) || @ || ('BLOCKS', ['BLOQUE']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ |
N_CASEP| @ || ('N_CASEP', ['ε']) || @ || ('N_CASEP', ['ε']) || @ || @ || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || @ || @ || ('N_CASEP', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('N_CASEP', ['ε']) || @ || @ || @ || @ || @ || @ || ('N_CASEP', ['ε']) || @ || ('N_CASEP', ['ε']) || @ || @ || @ || @ || @ || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || @ || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || @ || @ || @ || @ || @ || @ || @ || @ || ('N_CASEP', ['ε']) || @ || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || @ || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['N_CASE']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || ('N_CASEP', ['ε']) || @ || @ || ('N_CASEP', ['ε']) |
DO_WHILEP| @ || @ || ('DO_WHILEP', ['t_brace_o', 'L_BLOQUES', 't_brace_c', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || @ || @ || @ || @ || @ || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || @ || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || @ || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || @ || ('DO_WHILEP', ['BLOQUE', 't_while', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 't_semi_colon']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ |
FOR_CONDP| @ || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || @ || @ || @ || @ || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || @ || @ || @ || @ || @ || @ || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || @ || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || ('FOR_CONDP', ['OPER_L', 'FOR_CONDP']) || @ || @ || @ |
FUNCP| @ || @ || ('FUNCP', ['t_brace_o', 'L_BLOQUES', 'RETURN', 't_brace_c']) || @ || @ || @ || @ || @ || @ || @ || @ || ('FUNCP', ['t_semi_colon']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ |
RETURNP| @ || ('RETURNP', ['VALOR_ASIG', 't_semi_colon']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('RETURNP', ['t_semi_colon']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('RETURNP', ['VALOR_ASIG', 't_semi_colon']) || ('RETURNP', ['VALOR_ASIG', 't_semi_colon']) || ('RETURNP', ['VALOR_ASIG', 't_semi_colon']) || ('RETURNP', ['VALOR_ASIG', 't_semi_colon']) || ('RETURNP', ['VALOR_ASIG', 't_semi_colon']) || ('RETURNP', ['VALOR_ASIG', 't_semi_colon']) || @ || @ || @ |
VALOR_ASIG| @ || ('VALOR_ASIG', ['VALOR']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('VALOR_ASIG', ['VALOR']) || ('VALOR_ASIG', ['VALOR']) || ('VALOR_ASIG', ['VALOR']) || ('VALOR_ASIG', ['VALOR']) || ('VALOR_ASIG', ['VALOR']) || ('VALOR_ASIG', ['t_identifier']) || @ || @ || @ |
COMP_OPER| @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('COMP_OPER', ['t_comparation']) || @ || ('COMP_OPER', ['t_diferent_to']) || @ || @ || ('COMP_OPER', ['t_less_equals']) || ('COMP_OPER', ['t_less']) || @ || ('COMP_OPER', ['t_great_equal']) || ('COMP_OPER', ['t_great']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ |
BITE_OPER| @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || ('BITE_OPER', ['t_left_desp']) || @ || @ || ('BITE_OPER', ['t_rigth_desp']) || @ || @ || @ || ('BITE_OPER', ['t_ampersand']) || @ || ('BITE_OPER', ['t_bit_or']) || @ || ('BITE_OPER', ['t_bit_xor']) || @ || ('BITE_OPER', ['t_c1']) || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ || @ |
